panel,metric,value,value_percent,n,true_fog,true_mist,true_clear,station,low_true,low_pred,true_class,predicted_class,count
overall_metrics,low_vis_precision,0.1829436038011159,18.29436038011159,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,low_vis_recall,0.4955290607335849,49.552906073358486,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,low_vis_csi,0.1542207791850137,15.42207791850137,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,false_positive_rate,0.0134982206890296,1.34982206890296,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,accuracy,0.98256320836966,98.25632083696601,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,Fog_P,0.1536077909899921,15.360779098999211,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,Fog_R,0.4832869074048929,48.328690740489286,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,Fog_CSI,0.1319391634479318,13.19391634479318,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,Mist_P,0.0763081394794272,7.630813947942721,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,Mist_R,0.1682692304995685,16.82692304995685,221371.0,718.0,624.0,220029.0,,,,,,
overall_metrics,Mist_CSI,0.0554089709470137,5.54089709470137,221371.0,718.0,624.0,220029.0,,,,,,
station_event_sites,low_vis_precision,0.5238094988662143,52.38094988662143,1285.0,,,,ZBAD,12.0,21.0,,,
station_event_sites,low_vis_recall,0.9166665902777842,91.66665902777842,1285.0,,,,ZBAD,12.0,21.0,,,
station_event_sites,accuracy,0.9898832684824904,98.98832684824905,1285.0,,,,ZBAD,12.0,21.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZBAL,5.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZBAL,5.0,0.0,,,
station_event_sites,accuracy,0.9961089494163424,99.61089494163424,1285.0,,,,ZBAL,5.0,0.0,,,
station_event_sites,low_vis_precision,0.1999999933333335,19.99999933333335,1285.0,,,,ZBDH,15.0,30.0,,,
station_event_sites,low_vis_recall,0.3999999733333351,39.99999733333351,1285.0,,,,ZBDH,15.0,30.0,,,
station_event_sites,accuracy,0.9712062256809338,97.12062256809338,1285.0,,,,ZBDH,15.0,30.0,,,
station_event_sites,low_vis_precision,0.2499999375000156,24.999993750001558,1285.0,,,,ZBDS,1.0,4.0,,,
station_event_sites,low_vis_recall,0.999999000001,99.9999000001,1285.0,,,,ZBDS,1.0,4.0,,,
station_event_sites,accuracy,0.9976653696498056,99.76653696498056,1285.0,,,,ZBDS,1.0,4.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZBDT,2.0,2.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZBDT,2.0,2.0,,,
station_event_sites,accuracy,0.996887159533074,99.68871595330741,1285.0,,,,ZBDT,2.0,2.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZBES,3.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZBES,3.0,0.0,,,
station_event_sites,accuracy,0.9976653696498056,99.76653696498056,1285.0,,,,ZBES,3.0,0.0,,,
station_event_sites,low_vis_precision,0.5666666477777784,56.66666477777784,1285.0,,,,ZBHD,27.0,30.0,,,
station_event_sites,low_vis_recall,0.6296296063100145,62.96296063100145,1285.0,,,,ZBHD,27.0,30.0,,,
station_event_sites,accuracy,0.980544747081712,98.0544747081712,1285.0,,,,ZBHD,27.0,30.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZBHH,1.0,8.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZBHH,1.0,8.0,,,
station_event_sites,accuracy,0.9929961089494164,99.29961089494164,1285.0,,,,ZBHH,1.0,8.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZBLF,1.0,3.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZBLF,1.0,3.0,,,
station_event_sites,accuracy,0.996887159533074,99.68871595330741,1285.0,,,,ZBLF,1.0,3.0,,,
station_event_sites,low_vis_precision,0.1818181652892577,18.181816528925772,1285.0,,,,ZBLL,3.0,11.0,,,
station_event_sites,low_vis_recall,0.6666664444445185,66.66664444445185,1285.0,,,,ZBLL,3.0,11.0,,,
station_event_sites,accuracy,0.9922178988326849,99.22178988326849,1285.0,,,,ZBLL,3.0,11.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZBOW,2.0,6.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZBOW,2.0,6.0,,,
station_event_sites,accuracy,0.993774319066148,99.3774319066148,1285.0,,,,ZBOW,2.0,6.0,,,
station_event_sites,low_vis_precision,0.3999999885714289,39.999998857142884,1285.0,,,,ZBSJ,15.0,35.0,,,
station_event_sites,low_vis_recall,0.9333332711111152,93.33332711111152,1285.0,,,,ZBSJ,15.0,35.0,,,
station_event_sites,accuracy,0.9813229571984436,98.13229571984436,1285.0,,,,ZBSJ,15.0,35.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZBSN,4.0,20.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZBSN,4.0,20.0,,,
station_event_sites,accuracy,0.9813229571984436,98.13229571984436,1285.0,,,,ZBSN,4.0,20.0,,,
station_event_sites,low_vis_precision,0.4210526204986153,42.10526204986153,1285.0,,,,ZBXT,26.0,38.0,,,
station_event_sites,low_vis_recall,0.6153845917159773,61.53845917159772,1285.0,,,,ZBXT,26.0,38.0,,,
station_event_sites,accuracy,0.9712062256809338,97.12062256809338,1285.0,,,,ZBXT,26.0,38.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZBXZ,2.0,1.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZBXZ,2.0,1.0,,,
station_event_sites,accuracy,0.9976653696498056,99.76653696498056,1285.0,,,,ZBXZ,2.0,1.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1284.0,,,,ZBZL,3.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1284.0,,,,ZBZL,3.0,0.0,,,
station_event_sites,accuracy,0.9976635514018692,99.76635514018693,1284.0,,,,ZBZL,3.0,0.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZGBH,1.0,10.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZGBH,1.0,10.0,,,
station_event_sites,accuracy,0.9914396887159532,99.14396887159532,1285.0,,,,ZGBH,1.0,10.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZGBS,1.0,1.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZGBS,1.0,1.0,,,
station_event_sites,accuracy,0.998443579766537,99.8443579766537,1285.0,,,,ZGBS,1.0,1.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZGCD,2.0,5.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZGCD,2.0,5.0,,,
station_event_sites,accuracy,0.9945525291828794,99.45525291828794,1285.0,,,,ZGCD,2.0,5.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZGHY,7.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZGHY,7.0,0.0,,,
station_event_sites,accuracy,0.9945525291828794,99.45525291828794,1285.0,,,,ZGHY,7.0,0.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZGKL,15.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZGKL,15.0,0.0,,,
station_event_sites,accuracy,0.9883268482490272,98.83268482490271,1285.0,,,,ZGKL,15.0,0.0,,,
station_event_sites,low_vis_precision,0.1176470519031145,11.76470519031145,1285.0,,,,ZHHH,2.0,17.0,,,
station_event_sites,low_vis_recall,0.99999950000025,99.999950000025,1285.0,,,,ZHHH,2.0,17.0,,,
station_event_sites,accuracy,0.9883268482490272,98.83268482490271,1285.0,,,,ZHHH,2.0,17.0,,,
station_event_sites,low_vis_precision,0.6666665555555741,66.66665555555741,1285.0,,,,ZHJZ,14.0,6.0,,,
station_event_sites,low_vis_recall,0.2857142653061239,28.571426530612392,1285.0,,,,ZHJZ,14.0,6.0,,,
station_event_sites,accuracy,0.9898832684824904,98.98832684824905,1285.0,,,,ZHJZ,14.0,6.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZHLY,1.0,3.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZHLY,1.0,3.0,,,
station_event_sites,accuracy,0.996887159533074,99.68871595330741,1285.0,,,,ZHLY,1.0,3.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZHNY,5.0,9.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZHNY,5.0,9.0,,,
station_event_sites,accuracy,0.9891050583657588,98.91050583657588,1285.0,,,,ZHNY,5.0,9.0,,,
station_event_sites,low_vis_precision,0.1249999947916668,12.49999947916668,1285.0,,,,ZHSY,5.0,24.0,,,
station_event_sites,low_vis_recall,0.599999880000024,59.9999880000024,1285.0,,,,ZHSY,5.0,24.0,,,
station_event_sites,accuracy,0.980544747081712,98.0544747081712,1285.0,,,,ZHSY,5.0,24.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZHXF,1.0,4.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZHXF,1.0,4.0,,,
station_event_sites,accuracy,0.9961089494163424,99.61089494163424,1285.0,,,,ZHXF,1.0,4.0,,,
station_event_sites,low_vis_precision,0.1999999933333335,19.99999933333335,1285.0,,,,ZHXY,6.0,30.0,,,
station_event_sites,low_vis_recall,0.9999998333333612,99.99998333333612,1285.0,,,,ZHXY,6.0,30.0,,,
station_event_sites,accuracy,0.9813229571984436,98.13229571984436,1285.0,,,,ZHXY,6.0,30.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZHYC,3.0,10.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZHYC,3.0,10.0,,,
station_event_sites,accuracy,0.9898832684824904,98.98832684824905,1285.0,,,,ZHYC,3.0,10.0,,,
